source_dataset,source_image_name,box_index,source_class,canonical_class,xmin,ymin,xmax,ymax,image_width,image_height,real_synthetic,allowed_split,source_dataset_url,license_name,license_url,license_reference
elpd,filename_prefix_00013_.png,1,license-plate,license_plate,495.1,705.2,604.2,735.2,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00014_.png,1,license-plate,license_plate,389.2,760.6,553.4,806.6,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00015_.png,1,license-plate,license_plate,1234.8,910.6,1311.5,930.0,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00015_.png,2,license-plate,license_plate,772.4,1013.32,1018.5,1076.9,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00016_.png,1,license-plate,license_plate,349.24,734.08,504.0,785.6,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00017_.png,1,license-plate,license_plate,1311.12,569.56,1411.12,595.05,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00017_.png,2,license-plate,license_plate,727.01,683.19,902.0,727.5,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00018_.png,1,license-plate,license_plate,34.5,812.5,187.9,856.7,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00019_.png,1,license-plate,license_plate,1086.9,984.7,1294.2,1040.1,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00020_.png,1,license-plate,license_plate,612.5,1120.99,762.31,1196.56,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00021_.png,1,license-plate,license_plate,505.5,825.0,622.05,855.5,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00022_.png,1,license-plate,license_plate,819.1,656.1,1024.0,711.66,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00023_.png,1,license-plate,license_plate,728.97,1257.34,953.38,1317.77,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00025_.png,1,license-plate,license_plate,211.82,507.6,328.5,553.2,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00026_.png,1,license-plate,license_plate,219.53,713.5,391.4,777.93,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00027_.png,1,license-plate,license_plate,209.71,735.22,295.5,755.4,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00027_.png,2,license-plate,license_plate,1187.93,1160.8,1487.9,1237.8,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00028_.png,1,license-plate,license_plate,258.31,809.68,392.8,846.29,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00029_.png,1,license-plate,license_plate,724.68,1170.86,913.52,1220.82,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00030_.png,1,license-plate,license_plate,612.5,878.1,945.56,977.53,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00031_.png,1,license-plate,license_plate,152.81,643.15,289.51,696.8,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00032_.png,1,license-plate,license_plate,391.67,1211.11,633.78,1273.31,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00033_.png,1,license-plate,license_plate,396.7,590.02,528.73,626.2,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00034_.png,1,license-plate,license_plate,597.45,1039.86,828.86,1099.39,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00034_.png,2,license-plate,license_plate,1.08,928.75,87.5,964.27,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00035_.png,1,license-plate,license_plate,474.64,991.78,785.42,1075.69,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00036_.png,1,license-plate,license_plate,319.28,610.1,563.07,673.71,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00037_.png,1,license-plate,license_plate,429.58,633.4,519.34,656.1,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00038_.png,1,license-plate,license_plate,224.66,1086.55,438.0,1149.5,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00038_.png,2,license-plate,license_plate,1204.4,975.39,1320.98,1003.06,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00039_.png,1,license-plate,license_plate,482.29,684.4,641.7,725.8,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00040_.png,1,license-plate,license_plate,371.99,602.86,482.97,641.39,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00041_.png,1,license-plate,license_plate,0.0,506.08,332.51,600.74,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00042_.png,1,license-plate,license_plate,1053.6,895.2,1336.43,981.31,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00043_.png,1,license-plate,license_plate,705.26,1009.1,979.47,1077.32,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00044_.png,1,license-plate,license_plate,359.37,585.96,469.9,617.66,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00045_.png,1,license-plate,license_plate,1386.24,565.68,1536.0,610.49,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00045_.png,2,license-plate,license_plate,742.74,717.75,1041.44,801.32,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00046_.png,1,license-plate,license_plate,720.33,734.8,811.87,759.02,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00047_.png,1,license-plate,license_plate,398.73,644.49,590.6,698.7,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00048_.png,1,license-plate,license_plate,691.08,1040.2,893.06,1093.7,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00049_.png,1,license-plate,license_plate,531.73,448.11,624.7,480.4,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00050_.png,1,license-plate,license_plate,606.5,885.84,911.81,963.83,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00051_.png,1,license-plate,license_plate,1102.03,720.84,1272.3,764.2,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00051_.png,2,license-plate,license_plate,241.66,626.71,579.37,706.58,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00052_.png,1,license-plate,license_plate,439.69,521.82,598.06,563.14,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00053_.png,1,license-plate,license_plate,347.7,429.2,534.98,479.84,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00053_.png,2,license-plate,license_plate,77.69,580.32,192.33,662.51,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00054_.png,1,license-plate,license_plate,1401.27,1066.4,1535.9,1111.09,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00054_.png,2,license-plate,license_plate,318.38,1068.29,540.46,1126.33,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00055_.png,1,license-plate,license_plate,653.47,513.1,794.82,552.36,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00056_.png,1,license-plate,license_plate,284.36,749.68,439.64,792.5,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00057_.png,1,license-plate,license_plate,390.16,611.34,640.27,677.67,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00058_.png,1,license-plate,license_plate,264.14,655.57,338.57,672.3,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00058_.png,2,license-plate,license_plate,647.14,985.63,1027.1,1084.03,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00059_.png,1,license-plate,license_plate,693.71,819.75,852.07,862.22,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00060_.png,1,license-plate,license_plate,152.44,697.16,444.1,804.3,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00061_.png,1,license-plate,license_plate,1181.84,548.85,1268.05,574.27,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00061_.png,2,license-plate,license_plate,783.95,915.84,1079.42,993.82,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00062_.png,1,license-plate,license_plate,734.89,703.19,952.25,760.77,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00063_.png,1,license-plate,license_plate,334.37,622.97,537.32,683.26,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00064_.png,1,license-plate,license_plate,468.94,600.09,790.08,691.25,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00065_.png,1,license-plate,license_plate,634.64,582.33,786.83,633.97,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00066_.png,1,license-plate,license_plate,1060.46,1108.01,1310.12,1177.52,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00067_.png,1,license-plate,license_plate,450.55,958.8,686.6,1057.9,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00068_.png,1,license-plate,license_plate,429.28,635.57,573.7,672.0,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00069_.png,1,license-plate,license_plate,596.53,642.25,779.18,695.97,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00070_.png,1,license-plate,license_plate,623.65,955.42,1006.0,1049.04,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
